title,thumbnail,score,link
Kyoukai Senki,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5bbf2f6-110x150.jpg,3.6,https://voiranime.com/anime/kyoukai-senki/
Gyakuten Sekai no Denchi Shoujo,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6ce745d-110x150.png,3.6,https://voiranime.com/anime/gyakuten-sekai-no-denchi-shoujo/
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,https://voiranime.com/wp-content/uploads/2021/10/thumb_6169c59e379cc-110x150.jpg,2.9,https://voiranime.com/anime/180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka/
Waccha PriMagi!,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5186b3c-110x150.jpg,3.2,https://voiranime.com/anime/waccha-primagi/
Tesla Note,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5565171-110x150.png,2.5,https://voiranime.com/anime/tesla-note/
Shikizakura,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b671edff-110x150.png,3.3,https://voiranime.com/anime/shikizakura/
Shaman King (2021),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520c99928d2-110x150.png,4.1,https://voiranime.com/anime/shaman-king-2021/
Mushoku Tensei: Isekai Ittara Honki Dasu,https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfacf08d792.jpg,4.4,https://voiranime.com/anime/mushoku-tensei-isekai-ittara-honki-dasu/
Mushoku Tensei: Isekai Ittara Honki Dasu (VF),https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfacf08d792.jpg,4.2,https://voiranime.com/anime/mushoku-tensei-isekai-ittara-honki-dasu-vf/
Kimetsu no Yaiba 2,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b70bf3cc-110x150.png,4,https://voiranime.com/anime/kimetsu-no-yaiba-yuukaku-hen/
Sankaku Mado no Sotogawa wa Yoru,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b571d92c-110x150.jpg,4.1,https://voiranime.com/anime/sankaku-mado-no-sotogawa-wa-yoru/
Mieruko-chan,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b523290a-110x150.png,4.1,https://voiranime.com/anime/mieruko-chan/
Saihate no Paladin (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b640bd25-110x150.jpg,4.2,https://voiranime.com/anime/saihate-no-paladin-vf/
Digimon Ghost Game,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b50b66e6-110x150.jpg,3.4,https://voiranime.com/anime/digimon-ghost-game/
Boruto: Naruto Next Generations,https://voiranime.com/wp-content/uploads/2020/01/thumb_5e0cd5d9cf00a-110x150.jpg,4.1,https://voiranime.com/anime/boruto-naruto-next-generations/
